dataset	file	rows	sha256
UCL	Head_Train.csv	110	89ec0852fd4bcec51362e996a619a890ecacbd3668402b816338c51d3a41c552
UCL	Head_Test.csv	49	847f358d48bce8a6b06022270286c38d87ccb327e091b33d3ebb38715d84962d
UCL	Abdomen_Train.csv	94	36557ebe018b57a3392092832a7d5e29c5e43c83645e34d1116a00c79e7dba86
UCL	Abdomen_Test.csv	36	56e7160dda7246399c935879f357c80a51e219d4f51ed9ea8a04fe85207ebf31
UCL	Femur_Train.csv	96	215fbf4d19315b2c02fa6aeff2686d540cc1140b8067edd7246329a4a151bcc4
UCL	Femur_Test.csv	39	cb893ded0acb869eb5222a4286f96a064ec556b8a2f17d3d11528fc5737199f4
MULTICENTRE	Head_Train.csv	1604	26a073841223a56da43884c84139dab572033b81e5338f3d70650a887bad9e62
MULTICENTRE	Head_Test.csv	1191	f4f2ff42868ed5376c5110f56d57dde8a31e5b2d3df58843e4d8ddce101f9571
MULTICENTRE	Abdomen_Train.csv	662	32480c09f87198564703a6c7a75850cbea8c97aa07e3be3f571782186b0034b2
MULTICENTRE	Abdomen_Test.csv	161	3a37657708e440e99c81d63283677621dfaa4c5bc2108d34fb6cbaed2523aae2
MULTICENTRE	Femur_Train.csv	533	bf6f6cecad302ac50e3166bff6174812f7b33a118646a025f293e3401db1c198
MULTICENTRE	Femur_Test.csv	362	d446cc2fc97d235b04025b96d9ecbea7a87cd4bbe38f9c1e81b2b6432b7ff013
